id,name,ingredients,instructions,calories,protein,carbs,fats,cuisine,cooking_time,difficulty,image
14,Greek Yogurt Parfait,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",585,31,65,35,International,58,Medium,https://example.com/images/recipe_14.jpg
15,Avocado Toast,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",506,31,68,23,International,12,Easy,https://example.com/images/recipe_15.jpg
16,Quinoa Salad,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,581,38,20,21,International,36,Hard,https://example.com/images/recipe_16.jpg
17,Paneer Butter Masala,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",582,45,39,15,Indian,49,Medium,https://example.com/images/recipe_17.jpg
18,Avocado Toast,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",585,38,18,21,International,37,Easy,https://example.com/images/recipe_18.jpg
19,Samosa,"flour, potatoes, peas, spices","Fold pastry into triangles, fill, and deep fry.",235,10,23,8,Indian,27,Easy,https://example.com/images/recipe_19.jpg
20,Idli Sambhar,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,598,20,35,27,Indian,57,Medium,https://example.com/images/recipe_20.jpg
21,Hummus and Carrot Sticks,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,113,4,28,9,International,48,Hard,https://example.com/images/recipe_21.jpg
22,Upma,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",583,34,31,24,Indian,18,Easy,https://example.com/images/recipe_22.jpg
23,Greek Yogurt Parfait,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",675,26,41,37,International,23,Medium,https://example.com/images/recipe_23.jpg
24,Pancakes,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,593,34,48,24,International,21,Hard,https://example.com/images/recipe_24.jpg
25,Hummus and Carrot Sticks,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,178,6,20,11,International,25,Easy,https://example.com/images/recipe_25.jpg
26,Upma,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",328,15,23,9,Indian,56,Medium,https://example.com/images/recipe_26.jpg
27,Idli Sambhar,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,504,31,34,17,Indian,48,Easy,https://example.com/images/recipe_27.jpg
28,Chia Pudding,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,443,39,31,17,International,48,Hard,https://example.com/images/recipe_28.jpg
29,Stuffed Paratha,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,580,30,57,25,Indian,14,Easy,https://example.com/images/recipe_29.jpg
30,Oatmeal with Berries,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",352,29,63,27,International,20,Hard,https://example.com/images/recipe_30.jpg
31,Bruschetta,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,186,8,29,6,International,36,Easy,https://example.com/images/recipe_31.jpg
32,Idli Sambhar,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,562,23,65,16,Indian,17,Easy,https://example.com/images/recipe_32.jpg
33,Oatmeal with Berries,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",337,31,31,36,International,13,Easy,https://example.com/images/recipe_33.jpg
34,Stuffed Paratha,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,465,44,23,16,Indian,50,Easy,https://example.com/images/recipe_34.jpg
35,Beef Stir-Fry,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,235,10,28,8,International,45,Hard,https://example.com/images/recipe_35.jpg
36,Bhel Puri,"puffed rice, tamarind chutney, onions",Mix all ingredients together and serve immediately.,112,6,18,9,Indian,37,Medium,https://example.com/images/recipe_36.jpg
37,Avocado Toast,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",500,35,54,29,International,42,Medium,https://example.com/images/recipe_37.jpg
38,Masala Omelette,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",283,13,15,7,Indian,58,Easy,https://example.com/images/recipe_38.jpg
39,Bruschetta,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,104,8,17,9,International,40,Easy,https://example.com/images/recipe_39.jpg
40,Greek Yogurt Parfait,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",578,39,39,22,International,46,Hard,https://example.com/images/recipe_40.jpg
41,Vegetable Tacos,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",485,24,60,31,International,11,Easy,https://example.com/images/recipe_41.jpg
42,Butter Chicken,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",497,42,10,16,Indian,16,Easy,https://example.com/images/recipe_42.jpg
43,Idli Sambhar,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,420,24,47,25,Indian,34,Easy,https://example.com/images/recipe_43.jpg
44,Greek Yogurt Parfait,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",475,19,59,33,International,33,Easy,https://example.com/images/recipe_44.jpg
45,Paneer Butter Masala,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",699,24,42,26,Indian,22,Hard,https://example.com/images/recipe_45.jpg
46,Idli Sambhar,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,490,18,49,22,Indian,15,Easy,https://example.com/images/recipe_46.jpg
47,Lentil Soup (Dal),"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",339,24,14,8,Indian,46,Medium,https://example.com/images/recipe_47.jpg
48,Greek Yogurt Parfait,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",597,16,34,30,International,54,Easy,https://example.com/images/recipe_48.jpg
49,Chickpea Curry,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",419,25,64,37,Indian,11,Easy,https://example.com/images/recipe_49.jpg
50,Butter Chicken,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",283,16,20,11,Indian,51,Medium,https://example.com/images/recipe_50.jpg
51,Poha Type 5 Variation 51,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",356,29,42,25,Indian,46,Medium,https://example.com/images/recipe_51.jpg
52,Butter Chicken Type 5 Variation 52,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",326,19,62,25,Indian,24,Hard,https://example.com/images/recipe_52.jpg
53,Masala Omelette Type 5 Variation 53,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",559,57,11,25,Indian,30,Hard,https://example.com/images/recipe_53.jpg
54,Chicken Tikka Masala Type 5 Variation 54,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",553,36,32,20,Indian,26,Hard,https://example.com/images/recipe_54.jpg
55,Palak Paneer Type 5 Variation 55,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",151,24,17,5,Indian,37,Medium,https://example.com/images/recipe_55.jpg
56,Vegetable Tacos Type 5 Variation 56,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",631,31,67,33,International,41,Hard,https://example.com/images/recipe_56.jpg
57,Greek Yogurt Parfait Type 5 Variation 57,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",531,37,37,21,International,24,Medium,https://example.com/images/recipe_57.jpg
58,Stuffed Paratha Type 5 Variation 58,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,218,20,30,11,Indian,32,Hard,https://example.com/images/recipe_58.jpg
59,Chia Pudding Type 5 Variation 59,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,187,17,27,10,International,49,Hard,https://example.com/images/recipe_59.jpg
60,Stuffed Paratha Type 6 Variation 60,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,347,14,15,6,Indian,52,Medium,https://example.com/images/recipe_60.jpg
61,Stuffed Paratha Type 6 Variation 61,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,328,25,24,12,Indian,60,Easy,https://example.com/images/recipe_61.jpg
62,Paneer Butter Masala Type 6 Variation 62,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",439,36,34,23,Indian,56,Medium,https://example.com/images/recipe_62.jpg
63,Guacamole and Chips Type 6 Variation 63,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,219,10,15,11,International,16,Easy,https://example.com/images/recipe_63.jpg
64,Chicken Tikka Masala Type 6 Variation 64,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",186,11,12,6,Indian,37,Hard,https://example.com/images/recipe_64.jpg
65,Masala Omelette Type 6 Variation 65,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",672,29,32,18,Indian,44,Medium,https://example.com/images/recipe_65.jpg
66,Chickpea Curry Type 6 Variation 66,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",622,26,56,16,Indian,36,Hard,https://example.com/images/recipe_66.jpg
67,Masala Omelette Type 6 Variation 67,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",674,21,39,35,Indian,44,Easy,https://example.com/images/recipe_67.jpg
68,Paneer Butter Masala Type 6 Variation 68,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",219,23,17,9,Indian,34,Easy,https://example.com/images/recipe_68.jpg
69,Chickpea Curry Type 6 Variation 69,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",582,40,16,18,Indian,45,Medium,https://example.com/images/recipe_69.jpg
70,Hummus and Carrot Sticks Type 7 Variation 70,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,135,7,18,11,International,49,Medium,https://example.com/images/recipe_70.jpg
71,Bhel Puri Type 7 Variation 71,"puffed rice, tamarind chutney, onions",Mix all ingredients together and serve immediately.,228,5,23,11,Indian,24,Medium,https://example.com/images/recipe_71.jpg
72,Pancakes Type 7 Variation 72,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,558,50,12,19,International,43,Medium,https://example.com/images/recipe_72.jpg
73,Idli Sambhar Type 7 Variation 73,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,438,49,17,16,Indian,49,Hard,https://example.com/images/recipe_73.jpg
74,Vegetable Tacos Type 7 Variation 74,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",636,20,64,21,International,44,Hard,https://example.com/images/recipe_74.jpg
75,Avocado Toast Type 7 Variation 75,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",434,24,62,31,International,16,Easy,https://example.com/images/recipe_75.jpg
76,Chicken Tikka Masala Type 7 Variation 76,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",231,25,24,10,Indian,51,Easy,https://example.com/images/recipe_76.jpg
77,Guacamole and Chips Type 7 Variation 77,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,225,9,21,6,International,46,Hard,https://example.com/images/recipe_77.jpg
78,Stuffed Paratha Type 7 Variation 78,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,310,18,51,23,Indian,11,Easy,https://example.com/images/recipe_78.jpg
79,Pancakes Type 7 Variation 79,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,569,37,20,30,International,40,Medium,https://example.com/images/recipe_79.jpg
80,Stuffed Paratha Type 8 Variation 80,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,543,49,32,19,Indian,36,Easy,https://example.com/images/recipe_80.jpg
81,Stuffed Paratha Type 8 Variation 81,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,305,23,27,12,Indian,19,Easy,https://example.com/images/recipe_81.jpg
82,Vegetable Tacos Type 8 Variation 82,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",292,16,13,5,International,24,Easy,https://example.com/images/recipe_82.jpg
83,Pancakes Type 8 Variation 83,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,430,23,50,26,International,31,Easy,https://example.com/images/recipe_83.jpg
84,Hummus and Carrot Sticks Type 8 Variation 84,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,163,3,16,15,International,49,Medium,https://example.com/images/recipe_84.jpg
85,Stuffed Paratha Type 8 Variation 85,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,468,22,42,15,Indian,23,Hard,https://example.com/images/recipe_85.jpg
86,Bruschetta Type 8 Variation 86,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,172,3,20,7,International,43,Hard,https://example.com/images/recipe_86.jpg
87,Chia Pudding Type 8 Variation 87,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,502,32,34,24,International,35,Hard,https://example.com/images/recipe_87.jpg
88,Upma Type 8 Variation 88,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",324,33,59,20,Indian,34,Easy,https://example.com/images/recipe_88.jpg
89,Greek Yogurt Parfait Type 8 Variation 89,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",322,28,36,36,International,28,Easy,https://example.com/images/recipe_89.jpg
90,Spaghetti Carbonara Type 9 Variation 90,"pasta, eggs, guanciale, pecorino cheese",Boil pasta. Mix egg and cheese. Toss with hot pasta and meat.,198,21,13,7,International,21,Hard,https://example.com/images/recipe_90.jpg
91,Palak Paneer Type 9 Variation 91,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",460,23,66,18,Indian,22,Hard,https://example.com/images/recipe_91.jpg
92,Lentil Soup (Dal) Type 9 Variation 92,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",488,51,33,16,Indian,25,Hard,https://example.com/images/recipe_92.jpg
93,Stuffed Paratha Type 9 Variation 93,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,595,26,44,36,Indian,37,Hard,https://example.com/images/recipe_93.jpg
94,Oatmeal with Berries Type 9 Variation 94,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",354,17,51,24,International,58,Medium,https://example.com/images/recipe_94.jpg
95,Butter Chicken Type 9 Variation 95,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",476,17,39,30,Indian,12,Easy,https://example.com/images/recipe_95.jpg
96,Guacamole and Chips Type 9 Variation 96,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,218,2,27,10,International,35,Easy,https://example.com/images/recipe_96.jpg
97,Stuffed Paratha Type 9 Variation 97,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,692,17,32,19,Indian,15,Easy,https://example.com/images/recipe_97.jpg
98,Oatmeal with Berries Type 9 Variation 98,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",583,51,20,30,International,49,Medium,https://example.com/images/recipe_98.jpg
99,Guacamole and Chips Type 9 Variation 99,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,168,5,23,15,International,38,Easy,https://example.com/images/recipe_99.jpg
100,Palak Paneer Type 10 Variation 100,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",631,23,52,37,Indian,12,Easy,https://example.com/images/recipe_100.jpg
101,Lentil Soup (Dal) Type 10 Variation 101,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",380,21,62,31,Indian,25,Easy,https://example.com/images/recipe_101.jpg
102,Upma Type 10 Variation 102,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",447,51,10,20,Indian,58,Easy,https://example.com/images/recipe_102.jpg
103,Pancakes Type 10 Variation 103,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,522,58,35,25,International,15,Easy,https://example.com/images/recipe_103.jpg
104,Idli Sambhar Type 10 Variation 104,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,439,18,38,15,Indian,57,Easy,https://example.com/images/recipe_104.jpg
105,Avocado Toast Type 10 Variation 105,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",554,25,63,39,International,17,Easy,https://example.com/images/recipe_105.jpg
106,Idli Sambhar Type 10 Variation 106,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,319,26,45,20,Indian,55,Hard,https://example.com/images/recipe_106.jpg
107,Paneer Butter Masala Type 10 Variation 107,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",431,17,48,36,Indian,46,Hard,https://example.com/images/recipe_107.jpg
108,Pancakes Type 10 Variation 108,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,526,16,35,32,International,15,Easy,https://example.com/images/recipe_108.jpg
109,Quinoa Salad Type 10 Variation 109,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,360,22,55,28,International,35,Medium,https://example.com/images/recipe_109.jpg
110,Chia Pudding Type 11 Variation 110,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,310,25,39,17,International,45,Medium,https://example.com/images/recipe_110.jpg
111,Bhel Puri Type 11 Variation 111,"puffed rice, tamarind chutney, onions",Mix all ingredients together and serve immediately.,247,6,20,5,Indian,36,Easy,https://example.com/images/recipe_111.jpg
112,Bhel Puri Type 11 Variation 112,"puffed rice, tamarind chutney, onions",Mix all ingredients together and serve immediately.,243,4,27,14,Indian,48,Easy,https://example.com/images/recipe_112.jpg
113,Chickpea Curry Type 11 Variation 113,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",280,20,11,10,Indian,59,Easy,https://example.com/images/recipe_113.jpg
114,Chia Pudding Type 11 Variation 114,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,338,25,25,10,International,41,Hard,https://example.com/images/recipe_114.jpg
115,Avocado Toast Type 11 Variation 115,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",666,28,68,29,International,14,Easy,https://example.com/images/recipe_115.jpg
116,Stuffed Paratha Type 11 Variation 116,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,325,23,58,19,Indian,45,Hard,https://example.com/images/recipe_116.jpg
117,Vegetable Tacos Type 11 Variation 117,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",530,51,18,22,International,35,Easy,https://example.com/images/recipe_117.jpg
118,Idli Sambhar Type 11 Variation 118,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,231,23,28,5,Indian,19,Easy,https://example.com/images/recipe_118.jpg
119,Pancakes Type 11 Variation 119,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,407,38,26,25,International,23,Easy,https://example.com/images/recipe_119.jpg
120,Quinoa Salad Type 12 Variation 120,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,450,33,46,17,International,18,Easy,https://example.com/images/recipe_120.jpg
121,Paneer Butter Masala Type 12 Variation 121,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",600,40,22,22,Indian,46,Hard,https://example.com/images/recipe_121.jpg
122,Pancakes Type 12 Variation 122,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,277,12,15,9,International,33,Hard,https://example.com/images/recipe_122.jpg
123,Butter Chicken Type 12 Variation 123,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",487,44,18,28,Indian,24,Medium,https://example.com/images/recipe_123.jpg
124,Samosa Type 12 Variation 124,"flour, potatoes, peas, spices","Fold pastry into triangles, fill, and deep fry.",113,7,30,7,Indian,56,Hard,https://example.com/images/recipe_124.jpg
125,Poha Type 12 Variation 125,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",497,15,61,16,Indian,55,Hard,https://example.com/images/recipe_125.jpg
126,Beef Stir-Fry Type 12 Variation 126,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,263,19,29,8,International,60,Easy,https://example.com/images/recipe_126.jpg
127,Greek Yogurt Parfait Type 12 Variation 127,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",341,19,52,38,International,47,Hard,https://example.com/images/recipe_127.jpg
128,Bruschetta Type 12 Variation 128,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,179,8,21,5,International,24,Medium,https://example.com/images/recipe_128.jpg
129,Pancakes Type 12 Variation 129,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,425,32,64,27,International,16,Easy,https://example.com/images/recipe_129.jpg
130,Upma Type 13 Variation 130,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",317,15,14,5,Indian,33,Medium,https://example.com/images/recipe_130.jpg
131,Pancakes Type 13 Variation 131,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,639,21,59,40,International,16,Easy,https://example.com/images/recipe_131.jpg
132,Dhokla Type 13 Variation 132,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,119,9,24,9,Indian,50,Medium,https://example.com/images/recipe_132.jpg
133,Idli Sambhar Type 13 Variation 133,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,486,23,60,24,Indian,20,Easy,https://example.com/images/recipe_133.jpg
134,Oatmeal with Berries Type 13 Variation 134,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",571,31,65,17,International,22,Medium,https://example.com/images/recipe_134.jpg
135,Greek Yogurt Parfait Type 13 Variation 135,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",527,52,22,25,International,22,Easy,https://example.com/images/recipe_135.jpg
136,Palak Paneer Type 13 Variation 136,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",497,27,69,30,Indian,35,Easy,https://example.com/images/recipe_136.jpg
137,Upma Type 13 Variation 137,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",429,25,39,36,Indian,59,Medium,https://example.com/images/recipe_137.jpg
138,Guacamole and Chips Type 13 Variation 138,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,248,8,24,9,International,32,Medium,https://example.com/images/recipe_138.jpg
139,Avocado Toast Type 13 Variation 139,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",300,15,23,5,International,19,Easy,https://example.com/images/recipe_139.jpg
140,Oatmeal with Berries Type 14 Variation 140,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",601,30,40,37,International,44,Easy,https://example.com/images/recipe_140.jpg
141,Spaghetti Carbonara Type 14 Variation 141,"pasta, eggs, guanciale, pecorino cheese",Boil pasta. Mix egg and cheese. Toss with hot pasta and meat.,513,57,33,28,International,58,Hard,https://example.com/images/recipe_141.jpg
142,Butter Chicken Type 14 Variation 142,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",498,25,64,35,Indian,21,Easy,https://example.com/images/recipe_142.jpg
143,Hummus and Carrot Sticks Type 14 Variation 143,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,144,7,16,12,International,31,Medium,https://example.com/images/recipe_143.jpg
144,Chia Pudding Type 14 Variation 144,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,651,26,51,38,International,12,Easy,https://example.com/images/recipe_144.jpg
145,Bhel Puri Type 14 Variation 145,"puffed rice, tamarind chutney, onions",Mix all ingredients together and serve immediately.,124,10,28,15,Indian,24,Hard,https://example.com/images/recipe_145.jpg
146,Oatmeal with Berries Type 14 Variation 146,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",467,30,44,24,International,21,Easy,https://example.com/images/recipe_146.jpg
147,Beef Stir-Fry Type 14 Variation 147,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,272,15,17,7,International,37,Hard,https://example.com/images/recipe_147.jpg
